,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-14398000000.0,4433000000.0,2290000000.0,-4396000000.0,
Repayment Of Debt,-8673000000.0,-5216000000.0,-1310000000.0,-15371000000.0,
Issuance Of Debt,10161000000.0,75000000.0,34000000.0,9795000000.0,
Issuance Of Capital Stock,23857000000.0,,,,
Capital Expenditure,-2318000000.0,-1527000000.0,-1222000000.0,-980000000.0,
End Cash Position,13801000000.0,12691000000.0,14614000000.0,8052000000.0,
Other Cash Adjustment Outside Changein Cash,-21000000.0,-22000000.0,-33000000.0,-52000000.0,
Beginning Cash Position,12713000000.0,14647000000.0,8104000000.0,7835000000.0,
Effect Of Exchange Rate Changes,-47000000.0,30000000.0,-73000000.0,-39000000.0,
Changes In Cash,1156000000.0,-1964000000.0,6616000000.0,308000000.0,
Financing Cash Flow,25209000000.0,-5487000000.0,-1266000000.0,-5600000000.0,
Cash Flow From Continuing Financing Activities,25209000000.0,-5487000000.0,-1266000000.0,-5600000000.0,
Net Other Financing Charges,-136000000.0,-391000000.0,-40000000.0,-66000000.0,
Proceeds From Stock Option Exercised,,45000000.0,50000000.0,42000000.0,36000000.0
Cash Dividends Paid,,,,,-1158000000.0
Common Stock Dividend Paid,,,,,-1158000000.0
Net Preferred Stock Issuance,5657000000.0,,,,
Preferred Stock Issuance,5657000000.0,,,,
Net Common Stock Issuance,18200000000.0,,,,
Common Stock Issuance,18200000000.0,,,,
Net Issuance Payments Of Debt,1488000000.0,-5141000000.0,-1276000000.0,-5576000000.0,
Net Long Term Debt Issuance,1488000000.0,-5141000000.0,-1276000000.0,-5576000000.0,
Long Term Debt Payments,-8673000000.0,-5216000000.0,-1310000000.0,-15371000000.0,
Long Term Debt Issuance,10161000000.0,75000000.0,34000000.0,9795000000.0,
Investing Cash Flow,-11973000000.0,-2437000000.0,4370000000.0,9324000000.0,
Cash Flow From Continuing Investing Activities,-11973000000.0,-2437000000.0,4370000000.0,9324000000.0,
Net Other Investing Changes,-665000000.0,-158000000.0,-11000000.0,5000000.0,
Net Investment Purchase And Sale,-9113000000.0,-709000000.0,5568000000.0,9776000000.0,
Sale Of Investment,4743000000.0,15739000000.0,10619000000.0,45489000000.0,
Purchase Of Investment,-13856000000.0,-16448000000.0,-5051000000.0,-35713000000.0,
Net Business Purchase And Sale,74000000.0,-70000000.0,,-6000000.0,
Sale Of Business,124000000.0,,,,
Purchase Of Business,-50000000.0,-70000000.0,,-6000000.0,
Net Intangibles Purchase And Sale,-88000000.0,,,,
Purchase Of Intangibles,-88000000.0,,,,
Net PPE Purchase And Sale,-2181000000.0,-1500000000.0,-1187000000.0,-451000000.0,
Sale Of PPE,49000000.0,27000000.0,35000000.0,529000000.0,
Purchase Of PPE,-2230000000.0,-1527000000.0,-1222000000.0,-980000000.0,
Operating Cash Flow,-12080000000.0,5960000000.0,3512000000.0,-3416000000.0,
Cash Flow From Continuing Operating Activities,-12080000000.0,5960000000.0,3512000000.0,-3416000000.0,
Change In Working Capital,-8768000000.0,4089000000.0,4139000000.0,-6977000000.0,
Change In Other Working Capital,2745000000.0,2479000000.0,384000000.0,2570000000.0,
Change In Other Current Liabilities,-329000000.0,-313000000.0,-158000000.0,-206000000.0,
Change In Other Current Assets,-16000000.0,389000000.0,-591000000.0,345000000.0,
Change In Payables And Accrued Expense,770000000.0,2451000000.0,3794000000.0,-7470000000.0,
Change In Accrued Expense,1563000000.0,779000000.0,2956000000.0,-3687000000.0,
Change In Payable,-793000000.0,1672000000.0,838000000.0,-3783000000.0,
Change In Account Payable,-793000000.0,1672000000.0,838000000.0,-3783000000.0,
Change In Prepaid Assets,,,,2505000000.0,-1060000000.0
Change In Inventory,-12353000000.0,-1681000000.0,420000000.0,-1127000000.0,
Change In Receivables,415000000.0,764000000.0,290000000.0,-1089000000.0,
Changes In Account Receivables,-37000000.0,-128000000.0,142000000.0,-713000000.0,
Other Non Cash Items,2129000000.0,1518000000.0,1616000000.0,1593000000.0,
Stock Based Compensation,407000000.0,690000000.0,725000000.0,833000000.0,
Asset Impairment Charge,112000000.0,46000000.0,112000000.0,98000000.0,
Depreciation Amortization Depletion,1836000000.0,1861000000.0,1979000000.0,2144000000.0,
Depreciation And Amortization,1836000000.0,1861000000.0,1979000000.0,2144000000.0,
Operating Gains Losses,4033000000.0,-2000000.0,-6000000.0,3183000000.0,
Gain Loss On Investment Securities,4079000000.0,,,3460000000.0,6493000000.0
Net Income From Continuing Operations,-11829000000.0,-2242000000.0,-5053000000.0,-4290000000.0,
