,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,3666000000.0,4048000000.0,3937000000.0,3780000000.0
Ordinary Shares Number,4353094536.0,3971000000.0,4082000000.0,4239000000.0
Share Issued,8019094536.0,8019000000.0,8019000000.0,8019000000.0
Net Debt,14730000000.0,6196000000.0,8254000000.0,39040000000.0
Total Debt,41710000000.0,41573000000.0,41193000000.0,47704000000.0
Tangible Book Value,263705000000.0,204802000000.0,195049000000.0,168577000000.0
Invested Capital,301464000000.0,242537000000.0,232943000000.0,214419000000.0
Working Capital,21683000000.0,31293000000.0,28586000000.0,2511000000.0
Net Tangible Assets,263705000000.0,204802000000.0,195049000000.0,168577000000.0
Capital Lease Obligations,3951000000.0,3838000000.0,3299000000.0,1862000000.0
Common Stock Equity,263705000000.0,204802000000.0,195049000000.0,168577000000.0
Total Capitalization,296509000000.0,238447000000.0,232309000000.0,210143000000.0
Total Equity Gross Minority Interest,270606000000.0,212538000000.0,202473000000.0,175683000000.0
Minority Interest,6901000000.0,7736000000.0,7424000000.0,7106000000.0
Stockholders Equity,263705000000.0,204802000000.0,195049000000.0,168577000000.0
Gains Losses Not Affecting Retained Earnings,-14619000000.0,-11989000000.0,-13270000000.0,-13764000000.0
Other Equity Adjustments,-14619000000.0,-11989000000.0,-13270000000.0,-13764000000.0
Treasury Stock,238817000000.0,254917000000.0,240293000000.0,225464000000.0
Retained Earnings,470903000000.0,453927000000.0,432860000000.0,392059000000.0
Capital Stock,46238000000.0,17781000000.0,15752000000.0,15746000000.0
Common Stock,46238000000.0,17781000000.0,15752000000.0,15746000000.0
Total Liabilities Net Minority Interest,182869000000.0,163779000000.0,166594000000.0,163240000000.0
Total Non Current Liabilities Net Minority Interest,112562000000.0,98463000000.0,97549000000.0,106597000000.0
Other Non Current Liabilities,25719000000.0,24228000000.0,21733000000.0,21717000000.0
Employee Benefits,9700000000.0,10496000000.0,10045000000.0,18430000000.0
Non Current Pension And Other Postretirement Benefit Plans,9700000000.0,10496000000.0,10045000000.0,18430000000.0
Dueto Related Parties Non Current,1346000000.0,1804000000.0,2338000000.0,2857000000.0
Tradeand Other Payables Non Current,0.0,0.0,0.0,0.0
Non Current Deferred Liabilities,39042000000.0,24452000000.0,22874000000.0,20165000000.0
Non Current Deferred Taxes Liabilities,39042000000.0,24452000000.0,22874000000.0,20165000000.0
Long Term Debt And Capital Lease Obligation,36755000000.0,37483000000.0,40559000000.0,43428000000.0
Long Term Capital Lease Obligation,3951000000.0,3838000000.0,3299000000.0,1862000000.0
Long Term Debt,32804000000.0,33645000000.0,37260000000.0,41566000000.0
Current Liabilities,70307000000.0,65316000000.0,69045000000.0,56643000000.0
Current Debt And Capital Lease Obligation,4955000000.0,4090000000.0,634000000.0,4276000000.0
Current Debt,4955000000.0,4090000000.0,634000000.0,4276000000.0
Other Current Borrowings,4892000000.0,4009000000.0,181000000.0,2392000000.0
Line Of Credit,63000000.0,6000000.0,379000000.0,276000000.0
Commercial Paper,0.0,75000000.0,74000000.0,1608000000.0
Payables And Accrued Expenses,65352000000.0,61226000000.0,68411000000.0,52367000000.0
Payables,65352000000.0,61226000000.0,68411000000.0,52367000000.0
Other Payable,11197000000.0,11086000000.0,11474000000.0,11362000000.0
Dueto Related Parties Current,10378000000.0,11885000000.0,14585000000.0,8885000000.0
Total Tax Payable,7632000000.0,7006000000.0,9183000000.0,5497000000.0
Income Tax Payable,4055000000.0,3189000000.0,5214000000.0,1601000000.0
Accounts Payable,36145000000.0,31249000000.0,33169000000.0,26623000000.0
Total Assets,453475000000.0,376317000000.0,369067000000.0,338923000000.0
Total Non Current Assets,361485000000.0,279708000000.0,271436000000.0,279769000000.0
Other Non Current Assets,19967000000.0,17138000000.0,16951000000.0,18022000000.0
Non Current Prepaid Assets,7084000000.0,7527000000.0,8049000000.0,8326000000.0
Non Current Accounts Receivable,5763000000.0,5846000000.0,6944000000.0,5506000000.0
Investments And Advances,34353000000.0,34257000000.0,34800000000.0,31363000000.0
Investmentin Financial Assets,343000000.0,177000000.0,278000000.0,138000000.0
Available For Sale Securities,343000000.0,177000000.0,278000000.0,138000000.0
Long Term Equity Investment,34010000000.0,34080000000.0,34522000000.0,31225000000.0
Net PPE,294318000000.0,214940000000.0,204692000000.0,216552000000.0
Accumulated Depreciation,-259585000000.0,-272445000000.0,-268001000000.0,-278510000000.0
Gross PPE,553903000000.0,487385000000.0,472693000000.0,495062000000.0
Other Properties,23823000000.0,22768000000.0,18335000000.0,18014000000.0
Current Assets,91990000000.0,96609000000.0,97631000000.0,59154000000.0
Other Current Assets,1598000000.0,1906000000.0,1782000000.0,1189000000.0
Restricted Cash,158000000.0,29000000.0,25000000.0,0.0
Inventory,23524000000.0,25120000000.0,24435000000.0,18780000000.0
Finished Goods,19444000000.0,20528000000.0,20434000000.0,14519000000.0
Raw Materials,4080000000.0,4592000000.0,4001000000.0,4261000000.0
Receivables,43681000000.0,38015000000.0,41749000000.0,32383000000.0
Other Receivables,8399000000.0,7719000000.0,8905000000.0,5500000000.0
Accounts Receivable,35282000000.0,30296000000.0,32844000000.0,26883000000.0
Allowance For Doubtful Accounts Receivable,-162000000.0,-170000000.0,-168000000.0,-159000000.0
Gross Accounts Receivable,35444000000.0,30466000000.0,33012000000.0,27042000000.0
Cash Cash Equivalents And Short Term Investments,23029000000.0,31539000000.0,29640000000.0,6802000000.0
Cash And Cash Equivalents,23029000000.0,31539000000.0,29640000000.0,6802000000.0
